135.125.246.189 - - [23/Jan/2024:04:58:23 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [23/Jan/2024:04:58:24 +0000] "POST / HTTP/1.1" 200 3979
198.235.24.171 - - [23/Jan/2024:05:15:51 +0000] "GET / HTTP/1.0" 200 3979
135.125.246.189 - - [23/Jan/2024:05:33:34 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [23/Jan/2024:05:33:35 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [23/Jan/2024:05:35:58 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:05:36:00 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [23/Jan/2024:05:38:40 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:05:38:42 +0000] "POST / HTTP/1.1" 200 3979
184.105.139.100 - - [23/Jan/2024:05:45:32 +0000] "-" 400 2875
35.203.210.103 - - [23/Jan/2024:06:33:01 +0000] "GET / HTTP/1.1" 200 3979
64.62.197.48 - - [23/Jan/2024:07:04:10 +0000] "GET / HTTP/1.1" 200 3979
64.62.197.61 - - [23/Jan/2024:07:04:41 +0000] "GET /favicon.ico HTTP/1.1" 404 762
64.62.197.52 - - [23/Jan/2024:07:04:58 +0000] "GET /?format=json HTTP/1.1" 200 3979
64.62.197.47 - - [23/Jan/2024:07:05:09 +0000] "CONNECT www.shadowserver.org:443 HTTP/1.1" 501 724
185.142.236.34 - - [23/Jan/2024:07:07:03 +0000] "GET / HTTP/1.1" 200 3979
185.142.236.34 - - [23/Jan/2024:07:07:03 +0000] "GET /robots.txt HTTP/1.1" 404 761
185.142.236.34 - - [23/Jan/2024:07:07:04 +0000] "GET /sitemap.xml HTTP/1.1" 404 762
185.142.236.34 - - [23/Jan/2024:07:07:05 +0000] "GET /.well-known/security.txt HTTP/1.1" 404 779
185.142.236.34 - - [23/Jan/2024:07:07:05 +0000] "GET /favicon.ico HTTP/1.1" 404 762
185.254.196.186 - - [23/Jan/2024:07:13:06 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [23/Jan/2024:07:13:07 +0000] "POST / HTTP/1.1" 200 3979
107.151.243.170 - - [23/Jan/2024:07:17:36 +0000] "GET / HTTP/1.1" 200 3979
135.125.246.189 - - [23/Jan/2024:07:20:33 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [23/Jan/2024:07:20:34 +0000] "POST / HTTP/1.1" 200 3979
18.220.33.21 - - [23/Jan/2024:07:22:25 +0000] "GET / HTTP/1.1" 200 3979
18.220.33.21 - - [23/Jan/2024:07:22:50 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
18.220.33.21 - - [23/Jan/2024:07:23:49 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
185.254.196.173 - - [23/Jan/2024:07:27:15 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:07:27:16 +0000] "POST / HTTP/1.1" 200 3979
142.93.187.22 - - [23/Jan/2024:07:59:39 +0000] "-" 400 2225
142.93.187.22 - - [23/Jan/2024:07:59:41 +0000] "GET /phpmyadmin/index.php HTTP/1.1" 404 775
192.241.226.27 - - [23/Jan/2024:08:11:39 +0000] "-" 400 1977
23.94.101.120 - - [23/Jan/2024:08:33:12 +0000] "GET / HTTP/1.1" 200 3979
45.33.68.74 - - [23/Jan/2024:08:36:24 +0000] "-" 400 2199
205.210.31.142 - - [23/Jan/2024:08:37:16 +0000] "-" 400 2197
205.210.31.142 - - [23/Jan/2024:08:37:17 +0000] "-" 400 3413
139.162.84.205 - - [23/Jan/2024:08:45:15 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.173 - - [23/Jan/2024:08:47:01 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:08:47:02 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [23/Jan/2024:08:52:22 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:08:52:24 +0000] "POST / HTTP/1.1" 200 3979
139.162.9.83 - - [23/Jan/2024:08:59:03 +0000] "GET /.env HTTP/1.1" 404 755
139.162.9.83 - - [23/Jan/2024:08:59:03 +0000] "POST / HTTP/1.1" 200 3979
139.162.9.83 - - [23/Jan/2024:08:59:03 +0000] "GET /sendgrid/.env HTTP/1.1" 404 768
139.162.9.83 - - [23/Jan/2024:08:59:03 +0000] "POST / HTTP/1.1" 200 3979
52.80.229.231 - - [23/Jan/2024:09:13:39 +0000] "GET / HTTP/1.1" 200 3979
52.80.229.231 - - [23/Jan/2024:09:13:59 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
135.125.246.189 - - [23/Jan/2024:09:58:52 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [23/Jan/2024:09:58:53 +0000] "POST / HTTP/1.1" 200 3979
18.130.144.144 - - [23/Jan/2024:09:59:04 +0000] "-" 400 2839
18.130.144.144 - - [23/Jan/2024:10:02:01 +0000] "-" 400 3237
18.130.144.144 - - [23/Jan/2024:10:03:50 +0000] "GET /favicon.ico HTTP/1.1" 404 762
34.78.249.41 - - [23/Jan/2024:10:04:19 +0000] "GET / HTTP/1.1" 200 3979
18.130.144.144 - - [23/Jan/2024:10:05:01 +0000] "-" 400 2067
18.130.144.144 - - [23/Jan/2024:10:06:50 +0000] "GET /manage/account/login HTTP/1.1" 404 779
18.130.144.144 - - [23/Jan/2024:10:09:16 +0000] "-" 400 2081
18.130.144.144 - - [23/Jan/2024:10:11:05 +0000] "GET /admin/index.html HTTP/1.1" 404 771
18.130.144.144 - - [23/Jan/2024:10:13:31 +0000] "-" 400 2161
199.45.155.32 - - [23/Jan/2024:10:13:57 +0000] "GET / HTTP/1.1" 200 3979
199.45.155.32 - - [23/Jan/2024:10:14:04 +0000] "GET / HTTP/1.1" 200 3979
199.45.155.32 - - [23/Jan/2024:10:14:07 +0000] "GET /favicon.ico HTTP/1.1" 404 762
18.130.144.144 - - [23/Jan/2024:10:15:24 +0000] "GET /index.html HTTP/1.1" 404 761
185.254.196.173 - - [23/Jan/2024:10:16:35 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:10:16:36 +0000] "POST / HTTP/1.1" 200 3979
18.130.144.144 - - [23/Jan/2024:10:18:54 +0000] "-" 400 3251
18.130.144.144 - - [23/Jan/2024:10:20:50 +0000] "GET /+CSCOE+/logon.html HTTP/1.1" 404 773
185.254.196.173 - - [23/Jan/2024:10:21:49 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:10:21:50 +0000] "POST / HTTP/1.1" 200 3979
18.130.144.144 - - [23/Jan/2024:10:24:09 +0000] "-" 400 2017
18.130.144.144 - - [23/Jan/2024:10:26:02 +0000] "GET /cgi-bin/login.cgi HTTP/1.1" 404 772
18.130.144.144 - - [23/Jan/2024:10:28:55 +0000] "-" 400 3205
18.130.144.144 - - [23/Jan/2024:10:30:47 +0000] "GET /logon.htm HTTP/1.1" 404 760
