144.255.16.115 - - [06/Jan/2024:08:06:01 +0000] "GET / HTTP/1.1" 200 3979
27.47.27.2 - - [06/Jan/2024:08:06:01 +0000] "GET /favicon.ico HTTP/1.1" 404 762
205.210.31.50 - - [06/Jan/2024:08:33:16 +0000] "-" 400 2197
205.210.31.50 - - [06/Jan/2024:08:33:16 +0000] "-" 400 3353
35.203.211.102 - - [06/Jan/2024:08:35:08 +0000] "GET / HTTP/1.1" 200 3979
139.162.84.205 - - [06/Jan/2024:08:38:26 +0000] "GET / HTTP/1.0" 200 3979
205.185.119.170 - - [06/Jan/2024:08:38:28 +0000] "GET /manager/html HTTP/1.1" 403 3446
52.80.177.122 - - [06/Jan/2024:08:41:09 +0000] "GET /.vscode/sftp.json HTTP/1.1" 404 772
52.80.177.122 - - [06/Jan/2024:08:44:36 +0000] "GET /.vscode/sftp.json HTTP/1.1" 404 772
35.203.210.80 - - [06/Jan/2024:08:51:55 +0000] "GET / HTTP/1.1" 200 3979
172.177.179.109 - - [06/Jan/2024:08:53:40 +0000] "GET /.env HTTP/1.1" 404 755
172.177.179.109 - - [06/Jan/2024:08:53:40 +0000] "POST / HTTP/1.1" 200 3979
205.210.31.218 - - [06/Jan/2024:08:57:26 +0000] "GET / HTTP/1.0" 200 3979
135.125.244.48 - - [06/Jan/2024:09:08:03 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [06/Jan/2024:09:08:04 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.186 - - [06/Jan/2024:09:12:07 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [06/Jan/2024:09:12:08 +0000] "POST / HTTP/1.1" 200 3979
8.137.106.178 - - [06/Jan/2024:09:14:26 +0000] "GET /cdn-cgi/trace HTTP/1.1" 404 768
80.66.76.149 - - [06/Jan/2024:09:26:27 +0000] "-" 400 2109
101.32.192.203 - - [06/Jan/2024:09:36:42 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
135.125.244.48 - - [06/Jan/2024:10:13:17 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [06/Jan/2024:10:13:17 +0000] "POST / HTTP/1.1" 200 3979
205.210.31.136 - - [06/Jan/2024:10:34:44 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.186 - - [06/Jan/2024:10:41:59 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [06/Jan/2024:10:42:00 +0000] "POST / HTTP/1.1" 200 3979
198.235.24.21 - - [06/Jan/2024:10:45:51 +0000] "-" 400 2175
198.235.24.21 - - [06/Jan/2024:10:45:51 +0000] "-" 400 3413
206.189.126.128 - - [06/Jan/2024:11:10:44 +0000] "-" 400 2863
206.189.126.128 - - [06/Jan/2024:11:10:45 +0000] "-" 400 2833
206.189.126.128 - - [06/Jan/2024:11:10:45 +0000] "GET / HTTP/1.1" 200 3979
206.189.126.128 - - [06/Jan/2024:11:10:46 +0000] "-" 400 2857
101.32.192.203 - - [06/Jan/2024:11:13:48 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
118.193.56.56 - - [06/Jan/2024:11:15:11 +0000] "GET / HTTP/1.1" 200 3979
118.193.56.56 - - [06/Jan/2024:11:15:11 +0000] "-" 400 2211
118.193.56.56 - - [06/Jan/2024:11:15:12 +0000] "t3 12.1.2 " 400 795
216.218.206.68 - - [06/Jan/2024:11:22:50 +0000] "GET / HTTP/1.1" 200 3979
216.218.206.68 - - [06/Jan/2024:11:25:13 +0000] "GET /favicon.ico HTTP/1.1" 404 762
216.218.206.68 - - [06/Jan/2024:11:26:23 +0000] "GET /geoserver/web/ HTTP/1.1" 404 773
65.49.20.92 - - [06/Jan/2024:11:28:14 +0000] "GET / HTTP/1.1" 200 3979
65.49.20.72 - - [06/Jan/2024:11:28:48 +0000] "GET /favicon.ico HTTP/1.1" 404 762
65.49.20.88 - - [06/Jan/2024:11:29:24 +0000] "GET /?format=json HTTP/1.1" 200 3979
65.49.20.104 - - [06/Jan/2024:11:29:48 +0000] "CONNECT www.shadowserver.org:443 HTTP/1.1" 501 724
89.23.100.163 - - [06/Jan/2024:11:31:52 +0000] "GET /.env HTTP/1.1" 404 755
89.23.100.163 - - [06/Jan/2024:11:31:52 +0000] "POST / HTTP/1.1" 200 3979
138.199.60.32 - - [06/Jan/2024:11:36:17 +0000] "GET / HTTP/1.1" 200 3979
162.243.133.43 - - [06/Jan/2024:11:58:23 +0000] "GET /portal/redlion HTTP/1.1" 404 769
