36.99.136.137 - - [27/Jan/2024:08:07:17 +0000] "GET / HTTP/1.1" 200 3979
36.99.136.137 - - [27/Jan/2024:08:07:18 +0000] "GET /favicon.ico HTTP/1.1" 404 762
198.98.54.50 - - [27/Jan/2024:08:20:00 +0000] "GET /manager/html HTTP/1.1" 403 3446
135.125.244.48 - - [27/Jan/2024:08:22:30 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:08:22:30 +0000] "POST / HTTP/1.1" 200 3979
96.127.160.234 - - [27/Jan/2024:08:36:36 +0000] "POST /goform/set_LimitClient_cfg HTTP/1.1" 404 781
94.156.65.188 - - [27/Jan/2024:08:36:39 +0000] "HEAD / HTTP/1.0" 200 -
94.156.65.188 - - [27/Jan/2024:08:36:41 +0000] "HEAD / HTTP/1.0" 200 -
94.156.65.188 - - [27/Jan/2024:08:36:42 +0000] "GET /.git/config HTTP/1.1" 404 766
94.156.65.188 - - [27/Jan/2024:08:36:42 +0000] "GET /static../.git/config HTTP/1.1" 404 779
94.156.65.188 - - [27/Jan/2024:08:36:43 +0000] "GET /admin/.git/config HTTP/1.1" 404 776
94.156.65.188 - - [27/Jan/2024:08:36:43 +0000] "GET /app/.git/config HTTP/1.1" 404 774
94.156.65.188 - - [27/Jan/2024:08:36:44 +0000] "GET /.git/config HTTP/1.1" 404 766
94.156.65.188 - - [27/Jan/2024:08:36:44 +0000] "GET /static../.git/config HTTP/1.1" 404 779
94.156.65.188 - - [27/Jan/2024:08:36:45 +0000] "GET /admin/.git/config HTTP/1.1" 404 776
94.156.65.188 - - [27/Jan/2024:08:36:45 +0000] "GET /app/.git/config HTTP/1.1" 404 774
139.162.84.205 - - [27/Jan/2024:08:43:02 +0000] "GET / HTTP/1.0" 200 3979
34.140.248.32 - - [27/Jan/2024:09:04:09 +0000] "GET / HTTP/1.1" 200 3979
205.210.31.29 - - [27/Jan/2024:09:26:09 +0000] "GET / HTTP/1.1" 200 3979
115.97.80.166 - - [27/Jan/2024:09:38:28 +0000] "POST /GponForm/diag_Form?images/ HTTP/1.1" 404 773
115.97.80.166 - - [27/Jan/2024:09:38:28 +0000] "-" 400 1989
198.98.54.50 - - [27/Jan/2024:09:44:49 +0000] "GET /manager/html HTTP/1.1" 403 3446
198.235.24.149 - - [27/Jan/2024:09:46:11 +0000] "GET / HTTP/1.0" 200 3979
101.36.108.9 - - [27/Jan/2024:09:53:03 +0000] "GET / HTTP/1.1" 200 3979
101.36.108.9 - - [27/Jan/2024:09:53:03 +0000] "-" 400 2207
101.36.108.9 - - [27/Jan/2024:09:53:04 +0000] "t3 12.1.2 " 400 795
66.70.229.212 - - [27/Jan/2024:10:00:00 +0000] "GET /users/sign_in HTTP/1.1" 404 768
144.91.107.42 - - [27/Jan/2024:10:11:42 +0000] "-" 400 2187
144.91.107.42 - - [27/Jan/2024:10:11:43 +0000] "-" 400 3087
144.91.107.42 - - [27/Jan/2024:10:11:43 +0000] "GET / HTTP/1.1" 200 3979
144.91.107.42 - - [27/Jan/2024:10:11:44 +0000] "GET /favicon.ico HTTP/1.1" 404 762
135.125.244.48 - - [27/Jan/2024:10:17:50 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:10:17:50 +0000] "POST / HTTP/1.1" 200 3979
46.174.191.31 - - [27/Jan/2024:10:35:32 +0000] "GET / HTTP/1.0" 200 3979
