43.154.141.71 - - [06/Nov/2023:06:07:18 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
182.113.13.138 - - [06/Nov/2023:06:12:18 +0000] "POST /login HTTP/1.1" 200 1244
182.113.13.138 - - [06/Nov/2023:06:13:35 +0000] "POST /login HTTP/1.1" 200 1244
182.113.13.138 - - [06/Nov/2023:06:14:37 +0000] "POST /login HTTP/1.1" 200 1244
182.113.13.138 - - [06/Nov/2023:06:15:57 +0000] "POST /login HTTP/1.1" 200 1244
162.142.125.224 - - [06/Nov/2023:06:19:03 +0000] "GET / HTTP/1.1" 200 3979
162.142.125.224 - - [06/Nov/2023:06:19:04 +0000] "GET / HTTP/1.1" 200 3979
162.142.125.224 - - [06/Nov/2023:06:19:04 +0000] "GET /favicon.ico HTTP/1.1" 404 762
198.235.24.9 - - [06/Nov/2023:07:01:12 +0000] "-" 400 2225
198.235.24.9 - - [06/Nov/2023:07:01:12 +0000] "-" 400 3415
185.254.196.173 - - [06/Nov/2023:07:23:44 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:07:23:45 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [06/Nov/2023:07:31:51 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:07:31:52 +0000] "POST / HTTP/1.1" 200 3979
43.154.141.71 - - [06/Nov/2023:07:41:11 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
178.128.84.112 - - [06/Nov/2023:07:52:53 +0000] "GET /aaa9 HTTP/1.1" 404 755
178.128.84.112 - - [06/Nov/2023:07:52:53 +0000] "GET /aab8 HTTP/1.1" 404 755
178.128.84.112 - - [06/Nov/2023:07:52:54 +0000] "GET / HTTP/1.1" 200 3979
65.49.20.66 - - [06/Nov/2023:08:09:46 +0000] "GET / HTTP/1.1" 200 3979
65.49.20.66 - - [06/Nov/2023:08:11:43 +0000] "GET /favicon.ico HTTP/1.1" 404 762
65.49.20.66 - - [06/Nov/2023:08:12:31 +0000] "GET /geoserver/web/ HTTP/1.1" 404 773
45.128.232.183 - - [06/Nov/2023:08:13:14 +0000] "CONNECT google.com:443 HTTP/1.1" 501 724
84.54.51.192 - - [06/Nov/2023:08:14:12 +0000] "CONNECT google.com:443 HTTP/1.1" 501 724
34.86.165.36 - - [06/Nov/2023:08:31:47 +0000] "-" 400 2129
34.86.165.36 - - [06/Nov/2023:08:31:49 +0000] "OPTIONS / HTTP/1.0" 200 -
185.254.196.173 - - [06/Nov/2023:08:33:28 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:08:33:32 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [06/Nov/2023:08:44:58 +0000] "GET / HTTP/1.0" 200 3979
162.142.125.221 - - [06/Nov/2023:09:12:20 +0000] "GET / HTTP/1.1" 200 3979
162.142.125.221 - - [06/Nov/2023:09:12:21 +0000] "GET / HTTP/1.1" 200 3979
162.142.125.221 - - [06/Nov/2023:09:12:21 +0000] "GET /favicon.ico HTTP/1.1" 404 762
43.154.141.71 - - [06/Nov/2023:09:15:47 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
34.78.6.216 - - [06/Nov/2023:09:16:12 +0000] "GET / HTTP/1.1" 200 3979
137.184.217.189 - - [06/Nov/2023:09:27:34 +0000] "GET / HTTP/1.1" 200 3979
103.20.103.77 - - [06/Nov/2023:09:55:06 +0000] "CONNECT google.com:443 HTTP/1.1" 501 724
162.243.132.48 - - [06/Nov/2023:10:03:59 +0000] "GET /portal/redlion HTTP/1.1" 404 769
23.239.12.86 - - [06/Nov/2023:10:07:24 +0000] "-" 400 2199
185.254.196.173 - - [06/Nov/2023:10:21:29 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:10:21:30 +0000] "POST / HTTP/1.1" 200 3979
184.105.247.244 - - [06/Nov/2023:10:23:56 +0000] "-" 400 2863
185.254.196.173 - - [06/Nov/2023:10:33:24 +0000] "GET /.env HTTP/1.1" 404 755
194.165.17.11 - - [06/Nov/2023:10:38:33 +0000] "-" 400 2019
